order_id,product_id,quantity,unit_price,discount_amount,line_revenue
100001,1031,1,38.99,0.0,38.99
100002,1087,1,45.99,0.0,45.99
100002,1072,1,141.99,0.0,141.99
100003,1048,1,139.99,0.0,139.99
100004,1083,1,19.99,2.0,17.99
100004,1023,1,135.99,13.6,122.39000000000001
100004,1051,1,53.99,5.4,48.59
100005,1013,1,124.99,0.0,124.99
100006,1002,1,138.99,0.0,138.99
100006,1077,1,25.99,0.0,25.99
100007,1003,1,22.99,0.0,22.99
100007,1039,1,483.99,0.0,483.99
100007,1074,1,19.99,0.0,19.99
100008,1050,1,146.99,0.0,146.99
100008,1031,1,38.99,0.0,38.99
100009,1048,1,139.99,0.0,139.99
100010,1075,1,50.99,0.0,50.99
100010,1008,1,43.99,0.0,43.99
100010,1028,1,77.99,0.0,77.99
100011,1008,2,43.99,0.0,87.98
100011,1007,4,71.99,0.0,287.96
100012,1024,1,59.99,0.0,59.99
100013,1076,1,138.99,0.0,138.99
100014,1014,1,36.99,0.0,36.99
100015,1085,1,115.99,0.0,115.99
100015,1057,4,205.99,0.0,823.96
100016,1005,1,79.99,0.0,79.99
100017,1017,1,86.99,0.0,86.99
100018,1007,1,71.99,0.0,71.99
100019,1034,1,68.99,0.0,68.99
100019,1024,1,59.99,0.0,59.99
100020,1082,4,104.99,0.0,419.96
100020,1006,1,16.99,0.0,16.99
100020,1034,1,68.99,0.0,68.99
100021,1046,1,142.99,0.0,142.99
100021,1033,1,85.99,0.0,85.99
100022,1017,1,86.99,0.0,86.99
100023,1009,1,131.99,0.0,131.99
100024,1057,1,205.99,0.0,205.99
100024,1087,4,45.99,0.0,183.96
100025,1025,1,166.99,0.0,166.99
100026,1001,2,61.99,0.0,123.98
100027,1018,1,212.99,0.0,212.99
100028,1014,1,36.99,0.0,36.99
100028,1055,1,200.99,0.0,200.99
100029,1034,1,68.99,0.0,68.99
100029,1082,1,104.99,0.0,104.99
100029,1090,1,17.99,0.0,17.99
100029,1027,1,90.99,0.0,90.99
100030,1011,2,34.99,0.0,69.98
100031,1071,1,9.99,0.0,9.99
100032,1031,1,38.99,0.0,38.99
100032,1067,1,34.99,0.0,34.99
100032,1086,4,97.99,0.0,391.96
100033,1088,2,20.99,0.0,41.98
100033,1086,1,97.99,0.0,97.99
100034,1072,1,141.99,0.0,141.99
100035,1007,2,71.99,0.0,143.98
100035,1064,1,153.99,0.0,153.99
100035,1072,1,141.99,0.0,141.99
100035,1086,1,97.99,0.0,97.99
100036,1072,2,141.99,0.0,283.98
100037,1032,2,81.99,0.0,163.98
100037,1004,1,75.99,0.0,75.99
100038,1046,1,142.99,0.0,142.99
100038,1075,1,50.99,0.0,50.99
100038,1011,1,34.99,0.0,34.99
100039,1009,1,131.99,0.0,131.99
100039,1054,2,229.99,0.0,459.98
100040,1036,1,58.99,0.0,58.99
100040,1075,1,50.99,0.0,50.99
