product_id,product_name,category,list_price,unit_cost,margin,margin_pct
1001,Brass Chef Knife,Kitchen,61.99,38.13,23.86,0.3849007904500726
1002,Walnut Cutting Board,Kitchen,138.99,74.76,64.23,0.4621195769479819
1003,Matte Black Dutch Oven,Kitchen,22.99,13.5,9.489999999999998,0.41278816876902996
1004,Classic Skillet,Kitchen,75.99,39.86,36.129999999999995,0.4754572970127648
1005,Linen Mixing Bowl Set,Kitchen,79.99,41.11,38.879999999999995,0.4860607575946993
1006,Walnut Coffee Grinder,Kitchen,16.99,9.74,7.249999999999998,0.42672160094173034
1007,Modern Spice Rack,Kitchen,71.99,37.72,34.269999999999996,0.47603833865814693
1008,Matte Black Utensil Set,Kitchen,43.99,19.06,24.930000000000003,0.5667197090247784
1009,Brass Baking Sheet,Kitchen,131.99,76.08,55.91000000000001,0.42359269641639524
1010,Marble Tea Kettle,Kitchen,96.99,42.68,54.309999999999995,0.5599546344984019
1011,Brass Salad Spinner,Kitchen,34.99,16.5,18.490000000000002,0.528436696198914
1012,Ceramic Knife Block,Kitchen,109.99,54.18,55.809999999999995,0.5074097645240476
1013,Cotton Pour Over Kettle,Kitchen,124.99,61.7,63.28999999999999,0.5063605088407073
1014,Matte Black Stock Pot,Kitchen,36.99,18.86,18.130000000000003,0.49013246823465806
1015,Oak Measuring Cup Set,Kitchen,96.99,59.54,37.449999999999996,0.38612228064748944
1016,Linen Duvet Cover,Bedding,180.99,89.88,91.11000000000001,0.5033979777888281
1017,Classic Sheet Set,Bedding,86.99,40.1,46.88999999999999,0.5390274744223473
1018,Ceramic Quilt,Bedding,212.99,104.1,108.89000000000001,0.5112446593736796
1019,Classic Pillow Pair,Bedding,77.99,35.14,42.849999999999994,0.5494294140274394
1020,Coastal Weighted Blanket,Bedding,54.99,32.96,22.03,0.40061829423531553
1021,Velvet Mattress Topper,Bedding,123.99,55.52,68.47,0.5522219533833373
1022,Oak Throw Blanket,Bedding,88.99,49.1,39.88999999999999,0.44825261265310706
1023,Linen Pillowcase Set,Bedding,135.99,60.49,75.5,0.5551878814618721
1024,Walnut Comforter,Bedding,59.99,32.62,27.370000000000005,0.45624270711785303
1025,Bamboo Bed Skirt,Bedding,166.99,72.32,94.67000000000002,0.5669201748607702
1026,Cotton Linen Sheet Set,Bedding,161.99,87.76,74.23,0.4582381628495586
1027,Walnut Down Pillow,Bedding,90.99,43.05,47.94,0.5268710847345862
1028,Brass Towel Set,Bath,77.99,38.08,39.91,0.5117322733683806
1029,Cotton Bath Mat,Bath,30.99,13.2,17.79,0.57405614714424
1030,Matte Black Shower Curtain,Bath,7.99,4.76,3.2300000000000004,0.4042553191489362
1031,Stoneware Soap Dispenser,Bath,38.99,20.19,18.8,0.48217491664529366
1032,Linen Bath Robe,Bath,81.99,49.73,32.26,0.39346261739236493
1033,Walnut Hand Towel Pair,Bath,85.99,52.96,33.029999999999994,0.3841144319106872
1034,Nordic Toothbrush Holder,Bath,68.99,30.44,38.55,0.5587766342948254
1035,Modern Bath Caddy,Bath,51.99,23.42,28.57,0.5495287555299095
1036,Cotton Hamper,Bath,58.99,35.22,23.770000000000003,0.4029496524834718
1037,Coastal Waffle Towel Set,Bath,28.99,14.3,14.689999999999998,0.506726457399103
1038,Linen Accent Chair,Furniture,313.99,154.25,159.74,0.5087423166342877
1039,Nordic Coffee Table,Furniture,483.99,288.97,195.01999999999998,0.40294220954978405
1040,Marble Bookshelf,Furniture,476.99,272.45,204.54000000000002,0.4288140212583073
1041,Nordic Side Table,Furniture,553.99,246.04,307.95000000000005,0.5558764598638966
1042,Classic Dining Chair Pair,Furniture,773.99,445.47,328.52,0.4244499282936472
1043,Stoneware Bar Stool,Furniture,127.99,57.12,70.87,0.5537151339948434
1044,Bamboo Nightstand,Furniture,529.99,310.35,219.64,0.41442291363988
